url,package_name,destination,price_inr,original_price_inr,discount_pct,days,nights,price_per_day_inr,stay_tier_max,activities,theme,market,scraped_at
https://www.thrillophilia.com/tours/thailand-tour-package-0,Amazing 6 Days Tour in Thailand,Thailand,41639,55518,25,6,5,6939.83,Deluxe,"Trekking, Scuba Diving, Desert Safari",Honeymoon,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/bali-tour-package-1,Amazing 4 Days Tour in Bali,Bali,67651,90201,25,4,3,16912.75,Standard,"City Tour, Cultural Show",Group tours,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/goa-tour-package-2,Amazing 4 Days Tour in Goa,Goa,42585,47316,10,4,3,10646.25,Luxury,"City Tour, Watersports, Cruise, Trekking, Sightseeing",Honeymoon,Domestic,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/singapore-tour-package-3,Amazing 6 Days Tour in Singapore,Singapore,93447,116808,20,6,5,15574.5,Deluxe,"Desert Safari, Scuba Diving, Sightseeing",Luxury tours,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/bali-tour-package-4,Amazing 6 Days Tour in Bali,Bali,62541,73577,15,6,5,10423.5,Standard,"Cultural Show, Scuba Diving, City Tour, Sightseeing, Cruise",Adventure,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/thailand-tour-package-5,Amazing 5 Days Tour in Thailand,Thailand,63700,63700,0,5,4,12740.0,Standard,"City Tour, Cruise",Group tours,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/switzerland-tour-package-6,Amazing 7 Days Tour in Switzerland,Switzerland,194734,229098,15,7,6,27819.14,Premium,"Trekking, Desert Safari, Cultural Show, Scuba Diving",Honeymoon,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/singapore-tour-package-7,Amazing 5 Days Tour in Singapore,Singapore,119880,141035,15,5,4,23976.0,Luxury,"Trekking, Watersports, City Tour",Honeymoon,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/thailand-tour-package-8,Amazing 6 Days Tour in Thailand,Thailand,54392,63990,15,6,5,9065.33,Standard,"Sightseeing, Desert Safari, City Tour",Group tours,International,2026-09-21T00:00:00Z
https://www.thrillophilia.com/tours/bali-tour-package-9,Amazing 6 Days Tour in Bali,Bali,77170,85744,10,6,5,12861.67,Deluxe,"Spa, Watersports, Scuba Diving, Trekking, Cultural Show",Family tours,International,2026-09-21T00:00:00Z
